Rank|Team|W|L|T|PF|PA|Power|SoS
1|NEW ENGLAND|14|3|0|539|341|105.946|101.159
2|PITTSBURGH|14|5|0|455|306|104.704|100.955
3|GREEN BAY|14|6|0|509|316|104.389|101.177
4|BALTIMORE|13|5|0|411|308|103.774|100.505
5|NEW YORK JETS|13|6|0|431|365|103.679|101.335
6|ATLANTA|13|4|0|435|326|103.627|99.739
7|CHICAGO|12|6|0|383|331|102.538|100.461
8|PHILADELPHIA|10|7|0|455|398|101.334|100.193
9|NEW ORLEANS|11|6|0|420|348|101.324|99.152
10|NEW YORK GIANTS|10|6|0|394|347|101.181|99.393
11|TAMPA BAY|10|6|0|331|312|100.907|99.321
12|INDIANAPOLIS|10|7|0|451|405|100.729|99.502
13|MIAMI|7|9|0|273|333|100.374|101.485
14|SAN DIEGO|9|7|0|441|322|99.853|98.479
15|DETROIT|6|10|0|362|369|99.798|101.135
16|KANSAS CITY|10|7|0|373|356|99.390|98.403
17|MINNESOTA|6|10|0|281|348|99.198|101.104
18|OAKLAND|8|8|0|410|371|98.825|98.664
19|CLEVELAND|5|11|0|271|332|98.608|101.205
20|JACKSONVILLE|8|8|0|353|419|98.572|99.041
21|DALLAS|6|10|0|394|436|98.534|100.028
22|WASHINGTON|6|10|0|296|377|98.450|100.145
23|TENNESSEE|6|10|0|356|339|98.350|99.595
24|HOUSTON|6|10|0|390|427|98.273|99.753
25|CINCINNATI|4|12|0|322|395|98.227|101.416
26|BUFFALO|4|12|0|283|425|98.051|101.825
27|SEATTLE|8|10|0|375|478|97.795|98.945
28|ST. LOUIS|7|9|0|289|328|97.461|98.271
29|SAN FRANCISCO|6|10|0|305|346|97.080|98.786
30|DENVER|4|12|0|344|471|95.729|99.200
31|ARIZONA|5|11|0|289|434|95.343|98.504
32|CAROLINA|2|14|0|196|408|94.000|100.527
