Rank|Team|W|L|T|PF|PA|Power|SoS
1|NEW ENGLAND|15|4|0|576|375|105.121|100.890
2|SEATTLE|14|5|0|477|321|104.606|100.769
3|DENVER|12|5|0|495|378|103.839|100.983
4|GREEN BAY|13|5|0|534|397|103.301|100.211
5|INDIANAPOLIS|13|6|0|515|437|102.628|99.779
6|DALLAS|13|5|0|512|398|102.459|99.413
7|ARIZONA|11|6|0|326|326|102.048|100.459
8|KANSAS CITY|9|7|0|353|281|101.848|100.569
9|BUFFALO|9|7|0|343|289|101.637|100.615
10|DETROIT|11|6|0|341|306|101.580|99.815
11|PHILADELPHIA|10|6|0|474|400|101.508|99.558
12|BALTIMORE|11|7|0|470|354|101.476|99.391
13|SAN DIEGO|9|7|0|348|348|101.420|100.731
14|CINCINNATI|10|6|1|375|370|100.939|99.621
15|PITTSBURGH|11|6|0|453|398|100.808|98.997
16|MIAMI|8|8|0|388|373|100.795|100.602
17|SAN FRANCISCO|8|8|0|306|340|100.233|100.569
18|HOUSTON|9|7|0|372|307|100.095|98.765
19|CAROLINA|8|9|1|383|421|99.345|99.787
20|ST. LOUIS|6|10|0|324|354|98.945|100.536
21|MINNESOTA|7|9|0|325|343|98.755|99.654
22|NEW ORLEANS|7|9|0|401|424|98.513|99.235
23|NEW YORK GIANTS|6|10|0|380|400|98.280|99.743
24|CLEVELAND|7|9|0|299|337|98.143|99.113
25|CHICAGO|5|11|0|319|442|97.646|100.289
26|ATLANTA|6|10|0|381|417|97.566|99.206
27|NEW YORK JETS|4|12|0|283|401|97.387|100.919
28|OAKLAND|3|13|0|253|452|96.601|101.451
29|WASHINGTON|4|12|0|301|438|95.794|99.673
30|JACKSONVILLE|3|13|0|249|412|94.874|99.666
31|TAMPA BAY|2|14|0|277|410|94.300|99.265
32|TENNESSEE|2|14|0|254|438|93.795|99.615
