Rank|Team|W|L|T|PF|PA|Power|SoS
1|GREEN BAY|15|2|0|580|396|105.243|99.708
2|NEW ENGLAND|15|4|0|598|393|104.201|99.978
3|SAN FRANCISCO|14|4|0|433|281|103.906|99.660
4|NEW ORLEANS|14|4|0|624|403|103.802|99.393
5|BALTIMORE|13|5|0|418|302|102.911|99.608
6|NEW YORK GIANTS|13|7|0|496|466|102.765|100.997
7|PITTSBURGH|12|5|0|348|256|102.437|99.446
8|DETROIT|10|7|0|502|432|101.806|100.566
9|HOUSTON|11|7|0|425|308|101.173|99.104
10|PHILADELPHIA|8|8|0|396|328|100.780|100.112
11|ATLANTA|10|7|0|404|374|100.721|99.712
12|NEW YORK JETS|8|8|0|387|363|100.566|100.272
13|SAN DIEGO|8|8|0|406|377|100.408|100.212
14|CHICAGO|8|8|0|353|341|100.273|100.314
15|DALLAS|8|8|0|369|347|100.102|100.009
16|DENVER|9|9|0|348|458|100.024|100.596
17|CINCINNATI|9|8|0|354|354|99.891|99.570
18|TENNESSEE|9|7|0|325|317|99.828|98.987
19|OAKLAND|8|8|0|359|433|99.683|100.164
20|SEATTLE|7|9|0|321|315|99.368|99.962
21|ARIZONA|8|8|0|312|348|99.291|99.576
22|MIAMI|6|10|0|329|313|99.158|100.309
23|BUFFALO|6|10|0|372|434|98.854|100.482
24|KANSAS CITY|7|9|0|212|338|98.806|100.212
25|CAROLINA|6|10|0|406|429|98.191|99.632
26|WASHINGTON|5|11|0|288|367|97.574|100.118
27|JACKSONVILLE|5|11|0|243|329|96.877|99.487
28|MINNESOTA|3|13|0|340|449|96.480|100.583
29|CLEVELAND|4|12|0|218|307|96.388|99.905
30|TAMPA BAY|4|12|0|287|494|96.186|100.329
31|ST. LOUIS|2|14|0|193|407|94.575|101.064
32|INDIANAPOLIS|2|14|0|243|430|94.144|99.956
