Rank|Team|W|L|T|PF|PA|Power|SoS
1|WASHINGTON|12|1|0|300|176|107.442|101.110
2|MIAMI|10|3|0|291|184|105.251|100.921
3|DALLAS|8|4|0|310|219|104.102|101.037
4|NY JETS|8|4|0|306|211|103.898|101.250
5|LA RAIDERS|9|2|0|301|227|102.867|98.467
6|TAMPA BAY|5|5|0|175|208|101.605|102.137
7|CINCINNATI|7|3|0|249|221|101.522|98.616
8|GREEN BAY|6|4|1|293|222|101.463|99.713
9|MINNESOTA|6|5|0|224|243|101.463|101.239
10|SAN DIEGO|7|4|0|332|283|100.832|98.879
11|PITTSBURGH|6|4|0|232|177|100.529|99.105
12|BUFFALO|4|5|0|150|154|100.423|100.744
13|NY GIANTS|4|5|0|164|160|100.371|100.836
14|ST LOUIS|5|5|0|151|211|100.086|101.078
15|PHILADELPHIA|3|6|0|191|195|99.488|101.537
16|NEW ENGLAND|5|5|0|156|185|99.215|99.640
17|DETROIT|4|6|0|188|207|99.194|100.560
18|NEW ORLEANS|4|5|0|129|160|98.822|100.080
19|ATLANTA|5|5|0|207|229|98.741|98.875
20|CLEVELAND|4|6|0|150|209|98.323|100.030
21|KANSAS CITY|3|6|0|176|184|97.092|99.136
22|SEATTLE|4|5|0|127|147|97.044|97.941
23|CHICAGO|3|6|0|141|174|96.676|99.018
24|SAN FRANCISCO|3|6|0|209|206|96.232|97.956
25|BALTIMORE|0|8|1|113|236|94.830|102.146
26|LA RAMS|2|7|0|200|250|94.542|98.064
27|HOUSTON|1|8|0|136|245|94.177|100.235
28|DENVER|2|7|0|148|226|94.079|98.358
