Rank|Team|W|L|T|PF|PA|Power|SoS
1|PITTSBURGH|16|2|0|423|210|106.012|99.690
2|DALLAS|14|4|0|439|228|104.424|99.998
3|LA RAMS|13|5|0|350|283|102.662|99.776
4|MIAMI|11|6|0|381|271|102.580|100.166
5|NEW ENGLAND|11|6|0|372|317|102.063|100.227
6|HOUSTON|12|7|0|336|355|102.014|100.776
7|DENVER|10|7|0|292|231|101.903|100.342
8|SAN DIEGO|9|7|0|366|312|101.056|100.087
9|PHILADELPHIA|9|8|0|283|264|100.856|100.261
10|OAKLAND|9|7|0|311|283|100.840|100.114
11|NY JETS|8|8|0|359|364|100.641|100.726
12|SEATTLE|9|7|0|345|358|100.610|100.150
13|MINNESOTA|8|8|1|304|340|99.956|100.029
14|CLEVELAND|8|8|0|334|356|99.882|100.172
15|GREEN BAY|8|7|1|252|280|99.784|99.886
16|ATLANTA|10|8|0|274|330|99.772|99.566
17|WASHINGTON|8|8|0|273|283|99.604|99.787
18|NEW ORLEANS|7|9|0|281|298|99.188|99.909
19|CHICAGO|7|9|0|253|274|98.614|99.079
20|DETROIT|7|9|0|290|300|98.223|99.128
21|ST LOUIS|6|10|0|248|296|98.105|99.974
22|NY GIANTS|6|10|0|264|298|97.868|99.355
23|BALTIMORE|5|11|0|239|421|97.794|101.082
24|BUFFALO|5|11|0|302|354|97.677|99.994
25|CINCINNATI|4|12|0|252|284|97.558|100.812
26|KANSAS CITY|4|12|0|243|327|96.946|100.252
27|TAMPA BAY|5|11|0|241|259|96.527|98.721
28|SAN FRANCISCO|2|14|0|219|350|94.397|99.853
