Rank|Team|W|L|T|PF|PA|Power|SoS
1|OAKLAND|15|1|0|398|265|107.645|100.594
2|PITTSBURGH|11|5|0|389|176|105.596|101.313
3|MINNESOTA|13|2|1|364|209|105.099|99.624
4|CINCINNATI|10|4|0|335|210|104.772|100.638
5|NEW ENGLAND|11|4|0|397|260|103.491|99.181
6|LA RAMS|11|4|1|378|226|103.275|99.770
7|BALTIMORE|11|4|0|431|286|103.243|98.886
8|DALLAS|11|4|0|308|208|102.727|98.888
9|DENVER|9|5|0|315|206|102.695|100.174
10|ST LOUIS|10|4|0|309|267|102.353|99.652
11|WASHINGTON|10|5|0|311|252|101.822|99.347
12|CLEVELAND|9|5|0|267|287|101.508|99.639
13|CHICAGO|7|7|0|253|216|101.337|100.896
14|SAN FRANCISCO|8|6|0|270|190|100.829|99.105
15|SAN DIEGO|6|8|0|248|285|99.808|100.935
16|DETROIT|6|8|0|262|220|99.108|99.550
17|HOUSTON|5|9|0|222|273|99.071|100.881
18|MIAMI|6|8|0|263|264|98.798|99.426
19|KANSAS CITY|5|9|0|290|376|98.638|100.849
20|GREEN BAY|5|9|0|218|299|97.982|100.668
21|NY GIANTS|3|11|0|170|250|96.980|101.179
22|PHILADELPHIA|4|10|0|165|286|96.929|100.655
23|NEW ORLEANS|4|10|0|253|346|96.557|99.971
24|ATLANTA|4|10|0|172|312|96.099|99.504
25|NY JETS|3|11|0|169|383|94.136|99.914
26|BUFFALO|2|12|0|245|363|93.573|99.118
27|SEATTLE|2|12|0|229|429|93.073|99.290
28|TAMPA BAY|0|14|0|125|412|88.960|100.432
