Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 DALLAS                                      7     1     0   223   140  104.590
   2 NEW ENGLAND                                 7     1     0   217   132  104.310
   3 OAKLAND                                     7     2     0   245   223  103.608
   4 KANSAS CITY                                 6     2     0   185   161  103.361
   5 DENVER                                      6     3     0   214   166  102.977
   6 ATLANTA                                     6     3     0   305   259  102.504
   7 NEW YORK GIANTS                             5     3     0   161   164  102.048
   8 HOUSTON                                     5     3     0   137   167  101.971
   9 MINNESOTA                                   5     3     0   155   126  101.960
  10 PHILADELPHIA                                4     4     0   202   145  101.444
  11 SAN DIEGO                                   4     5     0   268   247  101.180
  12 GREEN BAY                                   4     4     0   198   187  101.019
  13 WASHINGTON                                  4     3     1   186   189  100.853
  14 NEW ORLEANS                                 4     4     0   242   238  100.782
  15 DETROIT                                     5     4     0   205   206  100.656
  16 PITTSBURGH                                  4     4     0   184   171  100.522
  17 SEATTLE                                     4     2     1   131   109  100.015
  18 INDIANAPOLIS                                4     5     0   249   256  100.011
  19 BUFFALO                                     4     4     0   212   172   99.758
  20 CINCINNATI                                  3     4     1   167   189   99.318
  21 BALTIMORE                                   4     4     0   154   153   99.308
  22 TENNESSEE                                   4     5     0   217   226   99.130
  23 MIAMI                                       4     4     0   173   182   98.753
  24 ARIZONA                                     3     4     1   179   140   98.387
  25 CAROLINA                                    3     5     0   204   206   98.163
  26 TAMPA BAY                                   3     5     0   180   232   97.884
  27 CHICAGO                                     2     6     0   131   179   97.811
  28 JACKSONVILLE                                2     6     0   153   215   97.198
  29 LOS ANGELES                                 3     5     0   130   167   97.097
  30 NEW YORK JETS                               3     6     0   173   235   96.481
  31 SAN FRANCISCO                               1     7     0   167   260   94.278
  32 CLEVELAND                                   0     9     0   168   273   92.716
