Rank|Team|W|L|T|PF|PA|Power|SoS
1|TAMPA BAY|15|4|0|452|233|105.015|100.068
2|OAKLAND|13|6|0|542|386|103.621|100.858
3|PHILADELPHIA|13|5|0|445|274|103.387|99.669
4|GREEN BAY|12|5|0|405|355|102.099|99.539
5|TENNESSEE|12|6|0|425|396|101.912|99.741
6|PITTSBURGH|11|6|1|457|412|101.677|99.898
7|ATLANTA|10|7|1|435|341|101.587|100.147
8|DENVER|9|7|0|392|344|101.531|100.528
9|MIAMI|9|7|0|378|301|101.434|100.129
10|SAN FRANCISCO|11|7|0|412|420|101.292|100.246
11|NEW ENGLAND|9|7|0|381|346|101.159|100.412
12|NEW YORK JETS|10|8|0|410|366|101.120|100.339
13|KANSAS CITY|8|8|0|467|399|100.840|100.564
14|NEW ORLEANS|9|7|0|432|388|100.770|99.953
15|INDIANAPOLIS|10|7|0|349|354|100.609|99.527
16|NEW YORK GIANTS|10|7|0|358|318|100.567|99.560
17|CLEVELAND|9|8|0|377|356|100.287|99.859
18|SAN DIEGO|8|8|0|333|367|99.970|100.161
19|BUFFALO|8|8|0|379|397|99.729|99.780
20|SEATTLE|7|9|0|355|369|99.150|100.006
21|ST. LOUIS|7|9|0|316|369|99.026|100.138
22|BALTIMORE|7|9|0|316|354|99.006|99.968
23|WASHINGTON|7|9|0|307|365|98.877|99.852
24|CAROLINA|7|9|0|258|302|98.859|99.791
25|JACKSONVILLE|6|10|0|328|315|98.513|99.626
26|MINNESOTA|6|10|0|390|442|98.262|99.863
27|ARIZONA|5|11|0|262|417|97.068|99.919
28|CHICAGO|4|12|0|281|379|96.690|100.228
29|DALLAS|5|11|0|217|329|96.689|99.589
30|HOUSTON|4|12|0|213|356|95.908|99.811
31|DETROIT|3|13|0|306|451|95.418|99.846
32|CINCINNATI|2|14|0|279|456|94.713|100.301
