Rank|Team|W|L|T|PF|PA|Power|SoS
1|CAROLINA|17|2|0|590|371|105.302|99.297
2|DENVER|15|4|0|422|340|104.817|100.991
3|ARIZONA|14|4|0|530|382|104.563|100.651
4|CINCINNATI|12|5|0|435|297|103.654|100.367
5|KANSAS CITY|12|6|0|455|314|103.391|100.622
6|SEATTLE|11|7|0|457|317|103.383|101.077
7|NEW ENGLAND|13|5|0|510|355|102.860|99.426
8|MINNESOTA|11|6|0|374|312|102.800|100.897
9|GREEN BAY|11|7|0|423|367|102.749|101.159
10|PITTSBURGH|11|7|0|457|358|102.728|100.893
11|NEW YORK JETS|10|6|0|387|314|100.286|98.425
12|DETROIT|7|9|0|358|400|100.091|101.070
13|HOUSTON|9|8|0|339|343|99.787|99.248
14|ST. LOUIS|7|9|0|286|330|99.767|100.828
15|OAKLAND|7|9|0|359|399|99.708|100.709
16|BUFFALO|8|8|0|379|359|99.436|99.238
17|CHICAGO|6|10|0|335|403|99.418|101.154
18|WASHINGTON|9|8|0|406|414|99.250|99.121
19|ATLANTA|8|8|0|339|345|98.663|98.854
20|INDIANAPOLIS|8|8|0|333|408|98.604|99.168
21|PHILADELPHIA|7|9|0|377|430|98.331|99.351
22|NEW ORLEANS|7|9|0|408|476|97.944|99.195
23|BALTIMORE|5|11|0|328|401|97.925|100.556
24|SAN FRANCISCO|5|11|0|238|387|97.849|101.078
25|NEW YORK GIANTS|6|10|0|420|442|97.768|99.171
26|SAN DIEGO|4|12|0|320|398|97.438|100.899
27|TAMPA BAY|6|10|0|342|417|97.011|98.969
28|MIAMI|6|10|0|310|389|96.981|98.814
29|DALLAS|4|12|0|275|374|96.221|99.707
30|JACKSONVILLE|5|11|0|376|448|96.171|98.711
31|CLEVELAND|3|13|0|278|432|96.031|100.887
32|TENNESSEE|3|13|0|299|423|94.373|98.959
