Rank|Team|W|L|T|PF|PA|Power|SoS
1|CHICAGO|18|1|0|547|208|108.749|100.128
2|NEW ENGLAND|14|6|0|456|384|103.850|100.996
3|MIAMI|13|5|0|472|372|103.147|99.992
4|LA RAIDERS|12|5|0|374|335|103.058|100.466
5|NY JETS|11|6|0|407|290|102.878|100.464
6|DENVER|11|5|0|380|329|102.045|99.792
7|SAN FRANCISCO|10|7|0|414|280|102.010|100.219
8|LA RAMS|12|6|0|360|301|101.904|99.767
9|NY GIANTS|11|7|0|416|307|101.477|99.422
10|SEATTLE|8|8|0|349|303|100.763|100.542
11|DALLAS|10|7|0|357|353|100.637|99.694
12|WASHINGTON|10|6|0|297|312|100.618|99.558
13|GREEN BAY|8|8|0|337|355|100.175|100.553
14|SAN DIEGO|8|8|0|467|435|99.472|99.216
15|CLEVELAND|8|9|0|308|318|99.359|99.604
16|DETROIT|7|9|0|307|366|99.357|100.874
17|MINNESOTA|7|9|0|346|359|98.781|99.741
18|CINCINNATI|7|9|0|441|437|98.765|99.457
19|KANSAS CITY|6|10|0|317|360|98.468|100.239
20|PITTSBURGH|7|9|0|379|361|98.463|98.920
21|PHILADELPHIA|7|9|0|286|310|98.335|99.196
22|INDIANAPOLIS|5|11|0|320|386|97.690|100.472
23|NEW ORLEANS|5|11|0|294|401|97.004|99.764
24|ATLANTA|4|12|0|282|452|96.813|100.790
25|ST LOUIS|5|11|0|278|414|96.205|99.336
26|HOUSTON|5|11|0|284|412|96.110|99.214
27|TAMPA BAY|2|14|0|294|448|95.463|101.142
28|BUFFALO|2|14|0|200|381|94.488|100.243
