Rank|Team|W|L|T|PF|PA|Power|SoS
1|CLEVELAND|10|2|1|328|186|103.939|99.422
2|DETROIT|9|5|0|296|317|101.946|100.386
3|BALTIMORE|7|5|0|303|235|101.387|99.903
4|SAN FRANCISCO|8|5|0|287|295|101.057|99.959
5|NY GIANTS|7|5|0|254|211|100.669|99.418
6|LA RAMS|6|6|0|307|278|100.463|100.281
7|WASHINGTON|5|6|1|251|230|99.624|99.771
8|PITTSBURGH|6|6|0|161|178|99.468|99.645
9|CHICAGO|5|7|0|203|211|99.116|100.030
10|PHILADELPHIA|4|8|0|173|230|97.847|100.227
11|GREEN BAY|3|9|0|218|311|97.288|100.673
12|CHICAGO CARDINALS|3|9|0|200|299|96.455|100.272
