Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 KANSAS CITY                                14     1     0   452   324  106.083
   2 BUFFALO                                    12     3     0   445   349  104.317
   3 NEW ORLEANS                                11     4     0   449   330  103.402
   4 PITTSBURGH                                 12     3     0   394   288  103.313
   5 GREEN BAY                                  12     3     0   474   353  103.148
   6 TAMPA BAY                                  10     5     0   448   328  102.833
   7 BALTIMORE                                  10     5     0   430   300  102.596
   8 SEATTLE                                    11     4     0   433   348  102.593
   9 MIAMI                                      10     5     0   378   282  102.229
  10 LA RAMS                                     9     6     0   354   289  101.668
  11 INDIANAPOLIS                               10     5     0   423   348  101.650
  12 TENNESSEE                                  10     5     0   450   401  101.646
  13 CLEVELAND                                  10     5     0   384   397  100.484
  14 ARIZONA                                     8     7     0   403   349  100.455
  15 LAS VEGAS                                   7     8     0   402   447  100.360
  16 CHICAGO                                     8     7     0   356   335   99.881
  17 SAN FRANCISCO                               6     9     0   353   364   99.505
  18 NEW ENGLAND                                 6     9     0   298   339   99.502
  19 MINNESOTA                                   6     9     0   393   440   98.765
  20 CAROLINA                                    5    10     0   343   369   98.695
  21 DENVER                                      5    10     0   292   414   98.527
  22 WASHINGTON                                  6     9     0   315   315   98.517
  23 LA CHARGERS                                 6     9     0   346   405   98.427
  24 ATLANTA                                     4    11     0   369   370   98.109
  25 DALLAS                                      6     9     0   376   450   97.970
  26 PHILADELPHIA                                4    10     1   320   398   97.665
  27 NY GIANTS                                   5    10     0   257   338   97.565
  28 DETROIT                                     5    10     0   342   482   97.354
  29 HOUSTON                                     4    11     0   346   423   96.866
  30 CINCINNATI                                  4    10     1   308   386   96.852
  31 NY JETS                                     2    13     0   229   429   95.446
  32 JACKSONVILLE                                1    14     0   292   464   93.577
