Rank|Team|W|L|T|PF|PA|Power|SoS
1|GREEN BAY|12|3|1|352|246|106.523|102.286
2|BALTIMORE|10|4|1|399|297|105.775|102.772
3|CHICAGO|9|5|0|409|275|105.497|102.572
4|SAN FRANCISCO|7|6|1|421|402|103.469|102.667
5|MINNESOTA|7|7|0|383|403|103.277|103.204
6|DETROIT|6|7|1|257|295|102.469|102.977
7|LA RAMS|4|10|0|269|328|100.748|103.483
8|CLEVELAND|11|4|0|375|348|99.578|96.883
9|DALLAS|7|7|0|325|280|97.113|96.973
10|NY GIANTS|7|7|0|270|338|96.321|96.999
11|WASHINGTON|6|8|0|257|301|95.655|97.056
12|PHILADELPHIA|5|9|0|363|359|95.443|97.087
13|ST LOUIS|5|9|0|296|309|95.170|96.983
14|PITTSBURGH|2|12|0|202|397|91.649|97.754
