Rank|Team|W|L|T|PF|PA|Power|SoS
1|CLEVELAND|10|2|1|387|232|104.677|100.031
2|WASHINGTON|8|4|0|246|222|102.239|100.330
3|NY GIANTS|6|5|1|267|223|101.398|100.414
4|CHICAGO|8|4|0|294|251|100.805|98.703
5|LA RAMS|8|4|1|274|269|100.753|99.103
6|PHILADELPHIA|4|7|1|248|231|100.121|101.153
7|CHICAGO CARDINALS|4|7|1|224|252|99.349|101.160
8|GREEN BAY|6|6|0|258|276|99.294|99.335
9|BALTIMORE|5|6|1|214|239|98.736|99.395
10|PITTSBURGH|4|8|0|195|285|98.474|101.070
11|SAN FRANCISCO|4|8|0|216|298|97.187|99.927
12|DETROIT|3|9|0|230|275|96.514|99.452
