Rank|Team|W|L|T|PF|PA|Power|SoS
1|MIAMI|14|2|0|404|176|106.320|99.857
2|MINNESOTA|14|2|0|350|198|105.854|99.915
3|LA RAMS|12|3|0|404|205|105.069|99.619
4|DALLAS|11|5|0|419|246|103.868|100.349
5|PITTSBURGH|10|5|0|361|233|103.102|99.911
6|OAKLAND|10|5|1|335|206|102.952|100.089
7|CINCINNATI|10|5|0|292|265|102.427|100.107
8|WASHINGTON|10|5|0|345|225|102.110|99.254
9|ATLANTA|9|5|0|318|224|101.544|99.660
10|CLEVELAND|7|5|2|234|255|101.132|100.313
11|BUFFALO|9|5|0|259|230|100.760|99.246
12|KANSAS CITY|7|5|2|231|192|100.603|99.279
13|DENVER|7|5|2|344|296|100.401|99.293
14|DETROIT|6|7|1|271|247|99.766|100.218
15|SAN FRANCISCO|5|9|0|262|319|99.429|101.605
16|PHILADELPHIA|5|8|1|310|393|98.141|99.998
17|GREEN BAY|5|7|2|202|259|97.919|99.447
18|NEW ORLEANS|5|9|0|163|312|97.813|100.300
19|ST LOUIS|4|9|1|286|365|97.710|100.318
20|NY JETS|4|10|0|240|306|97.182|100.279
21|NEW ENGLAND|5|9|0|258|300|96.618|98.695
22|BALTIMORE|4|10|0|226|341|96.485|99.850
23|SAN DIEGO|2|11|1|188|386|95.709|100.958
24|NY GIANTS|2|11|1|226|362|95.604|100.639
25|CHICAGO|3|11|0|195|334|95.494|100.383
26|HOUSTON|1|13|0|199|447|92.364|100.468
