Rank|Team|W|L|T|PF|PA|Power|SoS
1|SAN FRANCISCO|18|1|0|557|253|107.202|99.194
2|MIAMI|16|3|0|605|374|105.168|99.468
3|DENVER|13|4|0|370|265|103.699|99.996
4|SEATTLE|13|5|0|441|320|103.663|100.401
5|LA RAIDERS|11|6|0|375|291|102.806|100.559
6|WASHINGTON|11|6|0|445|333|102.414|99.866
7|CHICAGO|11|7|0|348|290|101.773|100.191
8|ST LOUIS|9|7|0|423|345|101.509|100.295
9|NY GIANTS|10|8|0|325|335|101.169|100.737
10|LA RAMS|10|7|0|359|332|101.164|100.060
11|DALLAS|9|7|0|308|308|101.073|100.350
12|PITTSBURGH|10|8|0|439|372|100.770|99.776
13|GREEN BAY|8|8|0|390|309|100.334|99.794
14|KANSAS CITY|8|8|0|314|324|100.332|100.434
15|NEW ENGLAND|9|7|0|362|352|100.231|99.609
16|SAN DIEGO|7|9|0|394|413|100.041|100.711
17|CINCINNATI|8|8|0|339|339|99.223|99.294
18|NEW ORLEANS|7|9|0|298|361|99.064|100.253
19|PHILADELPHIA|6|9|1|278|320|98.834|100.195
20|NY JETS|7|9|0|332|364|97.889|98.889
21|TAMPA BAY|6|10|0|335|380|97.826|99.539
22|CLEVELAND|5|11|0|250|297|97.204|99.547
23|DETROIT|4|11|1|283|408|96.855|100.327
24|ATLANTA|4|12|0|281|382|95.939|99.943
25|INDIANAPOLIS|4|12|0|239|414|95.532|99.845
26|MINNESOTA|3|13|0|276|484|95.385|100.511
27|HOUSTON|3|13|0|240|437|94.552|99.971
28|BUFFALO|2|14|0|250|454|94.474|100.329
