Rank|Team|W|L|T|PF|PA|Power|SoS
1|GREEN BAY|16|3|0|556|258|106.360|100.515
2|DENVER|13|4|0|418|305|103.704|100.050
3|SAN FRANCISCO|13|5|0|426|292|103.151|99.633
4|CAROLINA|13|5|0|406|265|102.794|99.242
5|NEW ENGLAND|13|6|0|487|357|102.680|99.913
6|DALLAS|11|7|0|343|291|101.957|100.375
7|PITTSBURGH|11|7|0|389|299|101.623|99.841
8|KANSAS CITY|9|7|0|297|300|101.371|100.851
9|BUFFALO|10|7|0|346|296|101.133|99.829
10|PHILADELPHIA|10|7|0|363|355|100.924|99.908
11|WASHINGTON|9|7|0|364|312|100.740|99.651
12|SAN DIEGO|8|8|0|310|376|100.450|100.953
13|MINNESOTA|9|8|0|313|355|100.242|100.330
14|JACKSONVILLE|11|8|0|391|409|100.069|99.489
15|INDIANAPOLIS|9|8|0|331|376|99.954|99.838
16|MIAMI|8|8|0|339|325|99.789|99.703
17|SEATTLE|7|9|0|317|376|99.741|100.879
18|OAKLAND|7|9|0|340|293|99.729|99.878
19|CINCINNATI|8|8|0|372|369|99.547|99.577
20|CHICAGO|7|9|0|283|305|99.529|100.396
21|HOUSTON|8|8|0|345|319|99.499|99.276
22|TAMPA BAY|6|10|0|221|293|98.428|100.520
23|NY GIANTS|6|10|0|242|297|98.202|99.797
24|DETROIT|5|11|0|302|368|98.035|100.507
25|ARIZONA|7|9|0|300|397|97.973|99.439
26|ST LOUIS|6|10|0|303|409|97.394|99.731
27|BALTIMORE|4|12|0|371|441|97.384|100.359
28|ATLANTA|3|13|0|309|461|95.433|99.893
29|NEW ORLEANS|3|13|0|229|339|94.858|99.261
30|NY JETS|1|15|0|279|454|94.035|100.497
