Rank|Team|W|L|T|PF|PA|Power|SoS
1|KANSAS CITY|16|3|0|542|434|105.002|100.551
2|BUFFALO|15|4|0|569|440|104.504|100.582
3|TAMPA BAY|15|5|0|615|433|104.291|100.631
4|NEW ORLEANS|13|5|0|523|376|103.652|100.207
5|GREEN BAY|14|4|0|567|418|103.424|99.438
6|BALTIMORE|12|6|0|491|333|102.382|99.553
7|SEATTLE|12|5|0|479|401|102.166|99.557
8|PITTSBURGH|12|5|0|453|360|102.092|99.184
9|LA RAMS|11|7|0|420|348|101.902|100.193
10|MIAMI|10|6|0|404|338|101.783|99.649
11|INDIANAPOLIS|11|6|0|475|389|101.240|98.988
12|TENNESSEE|11|6|0|504|459|101.139|99.291
13|CLEVELAND|12|6|0|473|478|100.932|99.309
14|LAS VEGAS|8|8|0|434|478|100.608|100.800
15|ARIZONA|8|8|0|410|367|99.908|99.606
16|NEW ENGLAND|7|9|0|326|353|99.504|100.506
17|CHICAGO|8|9|0|381|391|99.432|99.919
18|LA CHARGERS|7|9|0|384|426|99.264|100.193
19|SAN FRANCISCO|6|10|0|376|390|99.186|100.417
20|MINNESOTA|7|9|0|430|475|98.854|99.758
21|CAROLINA|5|11|0|350|402|98.552|100.772
22|WASHINGTON|7|10|0|358|360|98.523|99.364
23|DENVER|5|11|0|323|446|98.303|101.155
24|ATLANTA|4|12|0|396|414|98.072|100.904
25|NY GIANTS|6|10|0|280|357|97.674|99.673
26|DALLAS|6|10|0|395|473|97.415|99.280
27|PHILADELPHIA|4|11|1|334|418|97.097|99.954
28|DETROIT|5|11|0|377|519|97.004|99.917
29|HOUSTON|4|12|0|384|464|96.519|99.781
30|CINCINNATI|4|11|1|311|424|96.400|99.677
31|NY JETS|2|14|0|243|457|95.140|101.256
32|JACKSONVILLE|1|15|0|306|492|93.357|99.960
