Rank|Team|W|L|T|PF|PA|Power|SoS
1|MINNESOTA|12|3|0|349|160|105.863|100.482
2|DALLAS|12|4|0|321|231|104.578|100.940
3|DETROIT|10|5|0|347|207|104.533|101.551
4|SAN FRANCISCO|11|4|1|379|298|103.401|100.448
5|LA RAMS|9|4|1|325|202|103.198|100.057
6|BALTIMORE|13|2|1|365|251|102.794|97.741
7|ST LOUIS|8|5|1|325|228|102.369|100.314
8|NY GIANTS|9|5|0|301|270|101.644|99.673
9|OAKLAND|9|5|2|338|334|101.346|100.017
10|WASHINGTON|6|8|0|297|314|101.171|101.773
11|KANSAS CITY|7|5|2|272|244|100.871|99.876
12|CHICAGO|6|8|0|256|261|100.258|101.083
13|GREEN BAY|6|8|0|196|293|100.160|101.952
14|MIAMI|10|5|0|311|249|100.052|97.663
15|CLEVELAND|7|7|0|286|265|99.594|99.400
16|SAN DIEGO|5|6|3|282|278|99.453|99.647
17|CINCINNATI|8|7|0|312|272|99.028|98.586
18|ATLANTA|4|8|2|206|261|98.422|100.596
19|DENVER|5|8|1|253|264|98.022|99.240
20|PHILADELPHIA|3|10|1|241|332|97.724|101.261
21|NY JETS|4|10|0|255|286|96.505|99.237
22|PITTSBURGH|5|9|0|210|272|96.449|98.403
23|HOUSTON|3|10|1|217|352|96.378|100.120
24|NEW ORLEANS|2|11|1|172|347|96.017|101.558
25|BUFFALO|3|10|1|204|337|94.593|98.832
26|BOSTON|2|12|0|149|361|93.171|99.794
