Rank|Team|W|L|T|PF|PA|Power|SoS
1|DALLAS|16|3|0|525|290|105.826|100.228
2|SAN FRANCISCO|15|3|0|471|279|105.471|100.111
3|PHILADELPHIA|12|6|0|400|299|103.811|101.284
4|NEW ORLEANS|12|5|0|350|238|103.419|100.021
5|BUFFALO|14|6|0|492|386|102.871|100.051
6|WASHINGTON|10|8|0|337|282|101.869|100.927
7|MINNESOTA|11|6|0|381|273|101.818|99.582
8|MIAMI|12|6|0|381|310|101.765|99.383
9|HOUSTON|10|7|0|390|299|101.556|99.867
10|SAN DIEGO|12|6|0|352|272|101.382|99.033
11|PITTSBURGH|11|6|0|302|249|101.213|99.247
12|KANSAS CITY|10|7|0|348|299|100.981|99.654
13|DENVER|8|8|0|262|329|99.760|100.102
14|GREEN BAY|9|7|0|276|296|99.537|99.129
15|LA RAIDERS|7|9|0|249|281|99.453|100.163
16|INDIANAPOLIS|9|7|0|216|302|99.237|99.069
17|NY GIANTS|6|10|0|306|367|99.042|100.881
18|LA RAMS|6|10|0|313|383|98.798|100.708
19|ATLANTA|6|10|0|327|414|98.769|100.595
20|CLEVELAND|7|9|0|272|275|98.673|99.382
21|PHOENIX|4|12|0|243|332|97.949|101.397
22|DETROIT|5|11|0|273|332|97.876|100.347
23|CHICAGO|5|11|0|295|361|97.130|99.845
24|TAMPA BAY|5|11|0|267|365|97.090|99.731
25|CINCINNATI|5|11|0|274|364|96.372|98.968
26|NY JETS|4|12|0|220|315|96.228|100.018
27|SEATTLE|2|14|0|140|312|94.065|100.433
28|NEW ENGLAND|2|14|0|205|363|93.880|99.797
