Rank|Team|W|L|T|PF|PA|Power|SoS
1|SAN FRANCISCO|15|4|0|560|368|105.286|100.711
2|BALTIMORE|14|3|0|543|310|105.266|100.006
3|KANSAS CITY|15|4|0|568|383|104.963|100.538
4|NEW ORLEANS|13|4|0|478|367|103.758|100.336
5|GREEN BAY|14|4|0|424|373|103.232|99.742
6|NEW ENGLAND|12|5|0|433|245|102.773|98.998
7|SEATTLE|12|6|0|442|432|102.602|100.841
8|LA RAMS|9|7|0|394|364|101.865|100.752
9|TENNESSEE|11|8|0|480|391|101.817|100.671
10|HOUSTON|11|7|0|431|455|101.769|100.790
11|MINNESOTA|11|7|0|443|350|101.712|99.944
12|BUFFALO|10|7|0|333|281|100.302|98.947
13|ATLANTA|7|9|0|381|399|100.153|100.825
14|PITTSBURGH|8|8|0|289|303|99.838|99.994
15|TAMPA BAY|7|9|0|458|449|99.708|100.282
16|CHICAGO|8|8|0|280|298|99.595|99.816
17|DALLAS|8|8|0|434|321|99.496|98.788
18|INDIANAPOLIS|7|9|0|361|373|99.380|100.085
19|PHILADELPHIA|9|8|0|394|371|99.359|98.860
20|DENVER|7|9|0|282|322|99.154|100.240
21|CLEVELAND|6|10|0|335|393|98.617|100.363
22|OAKLAND|7|9|0|313|419|98.514|99.922
23|ARIZONA|5|10|1|361|442|98.350|100.717
24|LA CHARGERS|5|11|0|337|345|98.120|100.166
25|JACKSONVILLE|6|10|0|300|397|98.061|100.055
26|CAROLINA|5|11|0|340|470|98.031|100.867
27|NY JETS|7|9|0|276|359|97.447|98.853
28|DETROIT|3|12|1|341|423|96.163|99.772
29|MIAMI|5|11|0|306|494|95.822|99.114
30|NY GIANTS|4|12|0|341|451|95.340|98.835
31|CINCINNATI|2|14|0|279|420|95.096|100.529
32|WASHINGTON|3|13|0|266|435|94.269|99.297
