Rank|Team|W|L|T|PF|PA|Power|SoS
1|PHILADELPHIA|16|3|0|551|345|105.263|100.211
2|NEW ENGLAND|15|4|0|550|371|104.605|100.050
3|MINNESOTA|14|4|0|418|314|104.563|100.614
4|NEW ORLEANS|12|6|0|503|381|103.876|101.311
5|CAROLINA|11|6|0|389|358|103.070|101.341
6|PITTSBURGH|13|4|0|448|353|102.785|98.923
7|ATLANTA|11|7|0|389|343|102.753|101.415
8|LOS ANGELES RAMS|11|6|0|491|355|102.419|100.104
9|JACKSONVILLE|12|7|0|492|337|101.518|98.894
10|DETROIT|9|7|0|410|376|101.292|100.107
11|DALLAS|9|7|0|354|332|100.936|100.086
12|KANSAS CITY|10|7|0|436|361|100.849|99.464
13|SEATTLE|9|7|0|366|332|100.796|99.758
14|LOS ANGELES CHARGERS|9|7|0|355|272|100.558|99.172
15|BALTIMORE|9|7|0|395|303|100.157|98.512
16|BUFFALO|9|8|0|305|369|99.903|100.006
17|WASHINGTON|7|9|0|342|388|99.725|100.620
18|GREEN BAY|7|9|0|320|384|99.564|100.718
19|ARIZONA|8|8|0|295|361|99.400|99.799
20|TENNESSEE|10|8|0|370|412|99.271|98.877
21|TAMPA BAY|5|11|0|335|382|98.889|101.200
22|CHICAGO|5|11|0|264|320|98.616|100.947
23|MIAMI|6|10|0|281|393|98.329|100.518
24|SAN FRANCISCO|6|10|0|331|383|98.229|100.040
25|OAKLAND|6|10|0|301|373|97.885|99.899
26|CINCINNATI|7|9|0|290|349|97.669|98.861
27|NEW YORK JETS|5|11|0|298|382|97.520|100.226
28|DENVER|5|11|0|289|382|96.929|99.608
29|NEW YORK GIANTS|3|13|0|246|388|96.005|100.568
30|HOUSTON|4|12|0|338|436|95.807|99.406
31|INDIANAPOLIS|4|12|0|263|404|95.193|98.944
32|CLEVELAND|0|16|0|234|410|91.620|99.695
