Rank|Team|W|L|T|PF|PA|Power|SoS
1|SAN FRANCISCO|16|3|0|449|322|104.768|100.090
2|DALLAS|13|5|0|432|305|103.727|100.330
3|CINCINNATI|14|5|0|497|358|103.061|99.777
4|MIAMI|11|5|1|383|316|101.930|99.221
5|PHILADELPHIA|10|7|0|389|248|101.869|99.928
6|NY GIANTS|10|8|0|346|316|101.621|100.825
7|SAN DIEGO|11|7|0|526|455|101.368|99.864
8|DENVER|10|6|0|321|289|101.214|99.554
9|BUFFALO|11|7|0|363|331|101.178|99.758
10|NY JETS|10|6|1|382|318|100.875|99.006
11|DETROIT|8|8|0|397|322|100.817|100.293
12|KANSAS CITY|9|7|0|343|290|100.731|99.657
13|WASHINGTON|8|8|0|347|349|100.408|100.470
14|TAMPA BAY|9|8|0|315|306|100.292|99.939
15|PITTSBURGH|8|8|0|356|297|100.133|99.588
16|ATLANTA|7|9|0|426|355|99.825|99.983
17|GREEN BAY|8|8|0|324|361|99.609|99.991
18|MINNESOTA|7|9|0|325|369|99.021|99.861
19|ST LOUIS|7|9|0|315|408|99.009|100.179
20|CHICAGO|6|10|0|253|324|98.693|100.558
21|OAKLAND|7|9|0|273|343|98.650|99.917
22|SEATTLE|6|10|0|322|388|98.633|100.371
23|LA RAMS|6|10|0|303|351|98.590|100.354
24|HOUSTON|7|9|0|281|355|98.580|99.782
25|CLEVELAND|5|11|0|276|375|97.261|100.004
26|NEW ORLEANS|4|12|0|207|378|96.281|100.426
27|NEW ENGLAND|2|14|0|322|370|95.313|99.914
28|BALTIMORE|2|14|0|259|533|93.776|100.407
