Rank|Team|W|L|T|PF|PA|Power|SoS
1|LA RAMS|16|5|0|567|447|103.771|100.281
2|KANSAS CITY|14|6|0|588|448|103.402|100.583
3|GREEN BAY|13|5|0|460|384|103.018|100.241
4|TAMPA BAY|14|5|0|569|398|102.902|99.453
5|DALLAS|12|6|0|547|381|102.232|99.684
6|BUFFALO|12|7|0|566|348|102.150|99.403
7|CINCINNATI|13|8|0|552|458|102.044|100.259
8|SAN FRANCISCO|12|8|0|480|412|101.967|100.474
9|TENNESSEE|12|6|0|435|373|101.951|99.631
10|ARIZONA|11|7|0|460|400|101.816|100.241
11|NEW ENGLAND|10|8|0|479|350|100.878|99.402
12|INDIANAPOLIS|9|8|0|451|365|100.632|99.621
13|PITTSBURGH|9|8|1|364|440|100.611|100.742
14|LA CHARGERS|9|8|0|474|459|100.497|100.119
15|BALTIMORE|8|9|0|387|392|100.419|100.620
16|LAS VEGAS|10|8|0|393|465|100.400|100.346
17|NEW ORLEANS|9|8|0|364|335|100.100|99.602
18|MINNESOTA|8|9|0|425|426|100.047|100.334
19|CLEVELAND|8|9|0|349|371|100.037|100.339
20|PHILADELPHIA|9|9|0|459|416|99.833|99.523
21|SEATTLE|7|10|0|395|366|99.486|100.325
22|MIAMI|9|8|0|341|373|99.393|99.077
23|DENVER|7|10|0|335|322|98.982|99.741
24|WASHINGTON|7|10|0|335|434|98.590|100.090
25|CHICAGO|6|11|0|311|407|98.431|100.526
26|ATLANTA|7|10|0|313|459|97.329|99.280
27|CAROLINA|5|12|0|304|404|96.737|99.585
28|DETROIT|3|13|1|325|467|96.581|100.546
29|NY GIANTS|4|13|0|258|416|96.203|100.191
30|HOUSTON|4|13|0|280|452|95.567|99.837
31|NY JETS|4|13|0|310|504|95.566|99.753
32|JACKSONVILLE|3|14|0|253|457|94.885|99.981
